rank,Video,Video views,Likes,Dislikes,Category,published
1,"20 Tennis shots if they were not filmed, NOBODY would believe them","3,471,237",19023,859,7,12
2,Lil Nas X - Old Town Road (Official Movie) ft. Billy Ray Cyrus,"54,071,677",3497955,78799,7,14
3,JoJo Siwa - Karma (Official Video),"34,206,747",293563,0,7,19
4,Wiz Khalifa - See You Again ft. Charlie Puth [Official Video] Furious 7 Soundtrack,"6,643,904,918",44861602,0,7,10
5,伊賀の天然水強炭酸水「家族で、シュワシェア。」篇　15秒,"236,085,971",38,0,7,16
6,JP Saxe - If the World Was Ending (Official Video) ft. Julia Michaels,"76,834,495",804353,21195,7,14
7,David Kushner - Daylight (Official Music Video),"18,558,390",680732,0,7,18
8,Power Star Pawan Kalyan Special Surprise To Sensational Singer Baby|Filmy Poster,"96,686",1007,82,3,13
9,Kulit Kamu Kulit Kering dan Sensitif? Pakai Aveeno Skin Relief Lotion!,"9,605,969",6,0,7,18
10,Totti with a funny penalty,"8,353,318",5613,1082,13,2
11,Babilala ที่ทั้งแม่และลูกชื่นชอบนั้นคืออะไร?,"8,718,326",46,0,7,16
12,"Polo G, Stunna 4 Vegas & NLE Choppa feat. Mike WiLL Made-It - Go Stupid (Official Video)","7,396,199",320910,6485,7,15
13,Every Moment With You (너와의 모든 지금),"7,958,181",54903,0,7,19
14,Not a mechanical baby,"14,612,153",3339,156,3,6
15,"Yovie Widianto, Lyodra, Tiara Andini, Ziva Magnolya - Menyesal","13,894,905",452087,0,7,18
16,pevecov popek poje na sexy back,"37,460,296",4533,10949,1,2
17,"Luck Ra, Nicki Nicole - DOCTOR","8,286,096",149421,0,7,19
18,Jay Wheeler - Te La Dedico / For You (Official Video),"13,764,098",111497,0,7,18
19,"Colapesce, Dimartino - Musica leggerissima (Official Video - Sanremo 2021)","6,953,838",116350,2059,7,16
20,Grandma Dottie's Prom Dress Surprise,"8,414,676",2442,103,10,7
21,Rels B - LA LATINA (Videoclip Oficial),"5,851,411",155543,3504,7,14
